molecule_chembl_id,smiles,standard_units,pIC50,standard_value,type,units,value
CHEMBL3640422,CCN1CCN(/C(=N/O)c2cnc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)c(OC)c2)CC1,nM,6.69,204.0,IC50,nM,204.0
CHEMBL3640423,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ncc(C(N=O)N4CCN(c5cnccn5)CC4)cc3OC)NC(=O)NC1=O)C2,nM,6.288,515.0,IC50,nM,515.0
CHEMBL3640424,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N4C[C@@H](O)CC4=O)ccc3OC)NC(=O)NC1=O)C2,nM,6.077,837.1,IC50,nM,837.1
CHEMBL3640425,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4cccc(C#N)c4)ccc3OC)NC(=O)NC1=O)C2,nM,3.0,1000001.0,IC50,nM,1000001.0
CHEMBL3640426,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N4C(=O)CC[C@H]4CO)ccc3OC)NC(=O)NC1=O)C2,nM,5.812,1542.0,IC50,nM,1542.0
CHEMBL3640427,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N4C[C@H](O)CC4=O)ccc3OC)NC(=O)NC1=O)C2,nM,5.946,1132.0,IC50,nM,1132.0
CHEMBL3640428,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N4C(=O)CCC4C)ccc3OC)NC(=O)NC1=O)C2,nM,5.021,9537.2,IC50,nM,9537.2
CHEMBL3640429,COCCN1CCN(c2ccc(OC)c(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)n2)CC1,nM,5.243,5710.4,IC50,nM,5710.4
CHEMBL3640430,COc1ccc(N2CCC2=O)nc1C#C[C@]1(CN2Cc3ccc(OC)c(F)c3C2=O)NC(=O)NC1=O,nM,5.931,1171.0,IC50,nM,1171.0
CHEMBL3640431,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCCCC4)nc3)NC(=O)NC1=O)C2,nM,6.289,514.0,IC50,nM,514.0
CHEMBL3640432,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4cnc(N(C)C)nc4)ccc3OC)NC(=O)NC1=O)C2,nM,5.0,10001.0,IC50,nM,10001.0
CHEMBL3640433,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4ccc(N5CCNCC5)nc4)ccc3OC)NC(=O)NC1=O)C2,nM,5.688,2049.0,IC50,nM,2049.0
CHEMBL3640434,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4ccc(S(=O)(=O)NC5CC5)cc4)ccc3OC)NC(=O)NC1=O)C2,nM,5.152,7043.0,IC50,nM,7043.0
CHEMBL3642426,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4cncc(C#N)c4)ccc3OC)NC(=O)NC1=O)C2,nM,5.747,1790.0,IC50,nM,1790.0
CHEMBL3642427,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4ccc(C#N)nc4)ccc3OC)NC(=O)NC1=O)C2,nM,2.0,10000001.0,IC50,nM,10000001.0
CHEMBL3642429,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N(c4cccnc4)C4CCNCC4)nc3)NC(=O)NC1=O)C2,nM,6.367,430.0,IC50,nM,430.0
CHEMBL3642430,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(c4ccc[nH]4)c4ccc[nH]4)cc3)NC(=O)NC1=O)C2,nM,5.921,1199.0,IC50,nM,1199.0
CHEMBL3642431,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CCN)cc3)NC(=O)NC1=O)C2,nM,6.66,219.0,IC50,nM,219.0
CHEMBL1287882,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCNCC4)cc3)NC(=O)NC1=O)C2,nM,6.688,205.0,IC50,nM,205.0
CHEMBL3642432,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ncc(NCc4nccc(=O)[nH]4)cc3OC)NC(=O)NC1=O)C2,nM,6.199,632.0,IC50,nM,632.0
CHEMBL3642433,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N4CCN(c5ccncc5)CC4)ccc3OC)NC(=O)NC1=O)C2,nM,5.138,7271.0,IC50,nM,7271.0
CHEMBL3642434,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4ccc(N)nc4)c3)NC(=O)NC1=O)C2,nM,6.289,513.5,IC50,nM,513.5
CHEMBL3642435,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4cn[nH]c4)c3)NC(=O)NC1=O)C2,nM,6.585,260.0,IC50,nM,260.0
CHEMBL3642436,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4ccc(C(N)=O)cc4)c3)NC(=O)NC1=O)C2,nM,6.442,361.0,IC50,nM,361.0
CHEMBL3642437,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cnc(N)nc3N)NC(=O)NC1=O)C2,nM,5.797,1597.0,IC50,nM,1597.0
CHEMBL3642438,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cnc(N4CCC(=O)CC4)nc3N)NC(=O)NC1=O)C2,nM,5.997,1008.0,IC50,nM,1008.0
CHEMBL3642439,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCC(=O)CC4)nc3)NC(=O)NC1=O)C2,nM,6.0,1001.0,IC50,nM,1001.0
CHEMBL3642440,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4ccc(C(N)=O)o4)c3)NC(=O)NC1=O)C2,nM,6.11,776.1,IC50,nM,776.1
CHEMBL3642441,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)CCC43NC(=O)NC3=O)NC(=O)NC1=O)C2,nM,6.73,186.0,IC50,nM,186.0
CHEMBL3642442,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(CN)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,nM,6.64,229.0,IC50,nM,229.0
